Category,Restaurant Address,Restaurant Name,Restaurant Price Range,Restaurant Latitude,Restaurant Longitude,Review Rate,Restaurant_Price_Range_Code
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,2.4,2
American,"577 College Street
Toronto, ON M6G 1B2",Sidecar,3,43.6552,-79.413083,3.8,3
American,"699 Saint Clair Avenue W
Toronto, ON M6C 1B2",The Stockyards,2,43.681346,-79.426147,1.3,2
American,"21 Saint Clair Avenue W
Toronto, ON M4V 1K6",Union Social Eatery,2,43.687795,-79.395069,0.4,2
American,"650 Spadina Avenue
Toronto, ON M5S 2H7",Pig Out BBQ,2,43.663182,-79.402567,0.8,2
American,"218 Yonge Street
Toronto, ON M5B 2H6",Hendriks Restaurant & Bar,3,43.655536,-79.380934,0.5,3
American,"1168 Kennedy Road
Toronto, ON M1P",Fanzone Wings & Ribs,2,43.753057,-79.276234,2.8,2
American,"9 1/2 Church Street
Toronto, ON M5E 1M2",Loaded Pierogi,2,43.647901,-79.373407,1.2,2
American,"208 Bloor Street W
Toronto, ON M5S 1W2",Museum Tavern,2,43.668524,-79.395851,4.7,2
American,"3353 Yonge Street
Toronto, ON M4N 2M6",The Monkey Bar,3,43.731489,-79.403703,4.3,3
American,"577 College Street
Toronto, ON M6G 1B2",Sidecar,3,43.6552,-79.413083,3.6,3
American,"240 Duncan Mill Road
Toronto, ON M3B 3S6",Granite Bistro,1,43.762054,-79.351668,0.8,1
American,"122 St. Patrick St
Toronto, ON M5T",Helena’s Magic Kitchen,1,43.653504,-79.390154,3.4,1
American,"2148 Queen St E
Toronto, ON M4E 1E3",Swiss Chalet Rotisserie & Grill,1,43.67176,-79.292952,1.8,1
American,"41 Milner Avenue
Toronto, ON M1S 3P6",Kingsmen Pub & Grill,2,43.783669,-79.253191,1.7,2
American,"919 Pape Avenue
Toronto, ON M4K 3V3",Chicago Eatery,2,43.685466,-79.346864,4.9,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,1.4,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,2.5,2
American,"60 Richmond Street E
Toronto, ON M5C 1N8",Hawthorne Food and Drink,2,43.652368,-79.376226,3,2
American,"390 Queens Quay W
Toronto, ON M5V 3A6",Loch & Quay,2,43.638431,-79.390636,2,2
American,"1422 Dundas Street W
Toronto, ON M6J 1Y5",Egg Sunrise Grill,1,43.649729,-79.429364,0.1,1
American,"1438 Dundas Street W
Toronto, ON M6J 3L5",The Federal,2,43.649611,-79.430139,2.6,2
American,"1910 Queen Street E
Toronto, ON M4L 1H5",Breakwall BBQ,2,43.669324,-79.304498,2.6,2
American,"575 Mt Pleasant Road
Toronto, ON M4S 2M6",Bolands Kitchen,3,43.70346,-79.387981,3.2,3
American,"225 Church Street
Toronto, ON M5B 1E1",Layalina Shisha & Coffee,1,43.656314,-79.376906,3.6,1
American,"99 Queen Street E
Toronto, ON M5C 1S2",The Carbon Bar,3,43.653187,-79.374787,3,3
American,"1871 O'Connor Drive
Toronto, ON M4A 1X1",Frog and the Crown,2,43.722377,-79.303025,2.6,2
American,"14 Madison Avenue
Toronto, ON M5R 2S1",Madison Avenue Pub & Restaurant,2,43.667846,-79.403299,2.8,2
American,"3353 Yonge Street
Toronto, ON M4N 2M6",The Monkey Bar,3,43.731489,-79.403703,1.8,3
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",Rock ‘n’ Horse Saloon,2,43.648171,-79.389077,2.1,2
American,"2674 Yonge Street
Toronto, ON M4N 2H7",Sugar Miracles,1,43.716805,-79.400696,2.4,1
American,"1382 Danforth Avenue
Toronto, ON M4J 1M9",The Wren,2,43.68241,-79.32805,4.8,2
American,"410 Bloor Street W
Toronto, ON M5S",El Furniture Warehouse,1,43.665906,-79.408061,2.3,1
American,"55 Bloor Street W
51st Floor
Toronto, ON M4W 1A5",The One Eighty,3,43.66975,-79.389234,3.7,3
American,"589 King Street W
Toronto, ON M5V 1M5",Home Of The Brave,2,43.644159,-79.400247,0.9,2
American,"382 Yonge Street
Unit 8
Toronto, ON M5B 1S8",Duke’s Refresher + Bar,2,43.659044,-79.383071,3.6,2
American,"955 Gerrard Street E
Toronto, ON M4M 1Z4",Maple Leaf Tavern,3,43.668182,-79.339783,4.5,3
American,"936 Eglinton Avenue W
Toronto, ON M6C 2C2",3 Eggs All Day Pub & Grill,2,43.700519,-79.428463,1.3,2
American,"1952 Danforth Avenue
Toronto, ON M4C 1J4",The Groove Bar & Grill,1,43.685292,-79.315544,4.1,1
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,4.7,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,4.4,3
American,"1154 Queen Street W
Toronto, ON M6J 1J5",Death & Taxes Free House,2,43.643079,-79.424937,4.5,2
American,"30 Mercer St
Toronto, ON M5V",Victor,3,43.645746,-79.39079,0.2,3
American,"3400 Danforth Ave
Toronto, ON M1L 1E1",Swiss Chalet Rotisserie & Grill,3,43.694373,-79.276012,2,3
American,"686 Queen Street E
Toronto, ON M4M 1H1",Aft Kitchen & Bar,2,43.658809,-79.350781,4.9,2
American,"474 Adelaide Street E
Toronto, ON M5A 4L6",Banknote Bar,1,43.652609,-79.366084,3.7,1
American,"535 Mt. Pleasant Road.
Toronto, ON M4S 2M5",The Belsize Public House,2,43.702655,-79.3877,3.4,2
American,"207 Queens Quay W
Toronto, ON M5J 1A7",The Goodman Pub & Kitchen,2,43.639104,-79.380246,3.3,2
American,"403 Roncesvalles Avenue
Toronto, ON M6R 2N1",Gate 403 Bar & Grill,2,43.650948,-79.450854,2.1,2
American,"10 Dufferin Street
Toronto, ON M6K 3C3",Medieval Times Toronto,4,43.633528,-79.425126,4.2,4
American,"1077 Bloor St W
Toronto, ON M6H 1M5",Black Briik Restobar,2,43.660093,-79.433138,3.6,2
American,"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,2,43.701559,-79.39763,1.2,2
American,"60 Richmond Street E
Toronto, ON M5C 1N8",Hawthorne Food and Drink,2,43.652368,-79.376226,4.6,2
American,"20 College Street
Toronto, ON M5G 1K2",Fran’s Restaurant,2,43.661451,-79.384068,0.9,2
American,"1071 Shaw Street
Toronto, ON M6G 3N4",Universal Grill,2,43.670521,-79.42644,1.9,2
American,"1028 Danforth Avenue
Toronto, ON M4J 1M2",Holy Chicken,2,43.680763,-79.336528,2.7,2
American,"538 Church Street
Toronto, ON M4Y 2E1",Cafe California Restaurant,2,43.664789,-79.380812,2.9,2
American,"1749 Avenue Road
Toronto, ON M5M 3Y8",Safari Bar & Grill,2,43.729049,-79.41802,1,2
American,"80 Blue Jays Way
44th Floor
Toronto, ON M5V 2G3",Kost,3,43.64531,-79.392459,3.6,3
American,"1294 Gerrard Street E
Toronto, ON M4L 1Y7",Tea N Bannock,2,43.671182,-79.327356,4.2,2
American,"577 College Street
Toronto, ON M6G 1B2",Sidecar,3,43.6552,-79.413083,3.6,3
American,"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,2,43.648213,-79.389095,0.4,2
American,"800 Dundas Street W
Toronto, ON M6J 1V1",Old School,2,43.651922,-79.408363,2.2,2
American,"Westin Prince
900 York Mills Road
Toronto, ON M3B",Seasons at The Prince,3,43.756283,-79.349506,2.7,3
American,"Toronto, ON",Food Cabbie,1,43.653226,-79.383184,1,1
American,"2-20 College Street
Toronto, ON M5G 1K2",Upper Deck By Fran’s,2,43.661451,-79.384068,4.6,2
American,"15 Carlson Court
Toronto, ON M9W 6A2",Tucker’s Marketplace,2,43.689031,-79.585131,2.8,2
American,"164 Bathurst Street
Toronto, ON M5V 2R3",The Football Factory,2,43.646321,-79.403861,4.4,2
American,"22 Front Street W
Toronto, ON M5J 1C4",The Bottom Line,2,43.646521,-79.37788,1.5,2
American,"1544 Bayview Avenue
Toronto, ON M4G 3B6",McSorley’s Wonderful Saloon & Grill,2,43.704737,-79.375121,3.6,2
American,"804 O'Connor Drive
Toronto, ON M4B 2S9",Jawny Bakers Restaurant,2,43.70557,-79.312798,4.7,2
American,"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,3,43.65516,-79.412779,1.3,3
American,"60 Richmond Street E
Toronto, ON M5C 1N8",Hawthorne Food and Drink,2,43.652368,-79.376226,4.2,2
American,"577 College Street
Toronto, ON M6G 1B2",Sidecar,3,43.6552,-79.413083,3.8,3
American,"2340 Dundas Street W
Suite G-02
Toronto, ON M6P 4A9",The Bond Pub,2,43.656982,-79.452426,2.2,2
American,"696 Queen Street E
Toronto, ON M4M 1G9",Prohibition Gastrohouse,2,43.658879,-79.350345,4.2,2
American,"76 Gerrard Street E
Toronto, ON M5G 2A7",Lou Dawg’s,2,43.660128,-79.378152,1.4,2
American,"389 Danforth Ave
Toronto, ON M4K 1P1",Detroit Eatery,1,43.677468,-79.3517,2.7,1
American,"3120 Dufferin St
Toronto, ON M6A 2S6",Harvey’s Restaurants,1,43.715348,-79.455354,0.2,1
American,"413 Roncesvalles Avenue
Toronto, ON M6R 2N1",The Westerly,2,43.651201,-79.450783,2.3,2
American,"49 Eglinton Ave E
Toronto, ON M4P 1G6",Swiss Chalet Rotisserie & Grill,2,43.707002,-79.396466,1.8,2
American,"1185 Brimley Road
Toronto, ON M1P 3G2",Wings & Wings,2,43.764909,-79.259133,1,2
American,"426 Danforth Avenue
Toronto, ON M4K 1P3",AllStar Wings and Ribs,2,43.677946,-79.350992,4.7,2
