"Category","Restaurant.Address","Restaurant.Name","Restaurant.Price.Range","Review.Rate","location"
7,"2222 Queen Street E
Toronto, ON M4E 1E9","Kyouka Ramen",2,3.3,"43.672683, -79.288133"
7,"394 Bloor Street W
Toronto, ON M5S 1Y2","Sakura Japanese Cuisine",2,1.4,"43.666114, -79.407229"
2,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,2.2,"43.640353, -79.435923"
1,"561 Danforth Ave.
Toronto, ON M4K 1P9","St. Louis Bar & Grill",2,3.6,"43.678267, -79.347056"
9,"1115 Bloor Street W
Unit 2
Toronto, ON M6H 1M7","Tierra Azteca",2,4.5,"43.659888, -79.43481"
6,"2485 Queen Street E
Toronto, ON M4E 1H9","ViVetha Bistro",2,1.1,"43.673625, -79.282111"
1,"410 Bloor Street W
Toronto, ON M5S","El Furniture Warehouse",1,2.3,"43.665906, -79.408061"
12,"370 Yonge Street
Toronto, ON M5B 1S5","Thai On Yonge",2,0.5,"43.65855, -79.382072"
3,"287 King Street W
Toronto, ON M5V 1J5","Subway",1,1.9,"43.646337, -79.389855"
6,"188 Augusta Avenue
Toronto, ON M5T 1M1","Pizzeria Via Mercanti",2,1.8,"43.654105, -79.401962"
10,"1122 Wilson Avenue
Toronto, ON M3M 1G7","Hung Long Restaurant",1,1.4,"43.726661, -79.483478"
7,"2795 Danforth Avenue
Toronto, ON M4C 1M1","Double Sushi",2,3,"43.689307, -79.295618"
2,"4452 Sheppard Avenue E
Toronto, ON M1S 2V7","Asian Legend",2,1.8,"43.787917, -79.266886"
7,"5321 Yonge Street
Toronto, ON M2N 5R4","Hakata Shoryuken",2,3.2,"43.773543, -79.413796"
6,"826 Yonge Street
Toronto, ON M4W 2H1","Pizza Pizza",1,2.2,"43.671189, -79.387405"
6,"580 Progress Avenue
Toronto, ON M1P 2K2","Scaddabush Italian Kitchen & Bar",2,4,"43.777729, -79.254569"
6,"794 Saint Clair Avenue W
Toronto, ON M6C 1B6","Nodo Restaurant",2,0,"43.681011, -79.429799"
7,"294 Dundas Street W
Toronto, ON M5T 1G2","Salmon Lovers",2,3.9,"43.654441, -79.390885"
7,"786 Broadview Avenue
Toronto, ON M4K 2P7","Ryus Noodle Bar",2,2,"43.677122, -79.359008"
2,"2301 Brimley Road
Unit 128
Toronto, ON M1S 5B8","Grandeur Palace",2,4.7,"43.797802, -79.270832"
7,"398 Church St
Toronto, ON M5B 2A2","KINKA IZAKAYA ORIGINAL",2,2.6,"43.660524, -79.378927"
2,"3250 Midland Avenue
Unit G101
Toronto, ON M1V 0C4","Han Shi Fang",2,4.8,"43.804933, -79.28881"
6,"2100 Bloor Street W
Toronto, ON M6S 4Y7","Pizza Hut",1,3.1,"43.652607, -79.471037"
7,"1105 Bay Street
Toronto, ON M5S 2B3","Avocado Sushi",2,4.3,"43.66774, -79.388621"
3,"1910 Kennedy Road
Toronto, ON M1P 2L1","DQ Grill & Chill Restaurant",1,3.1,"43.767225, -79.281873"
5,"4777 Leslie Street
Toronto, ON M2J 2K8","Jerusalem Restaurant",2,3.6,"43.778937, -79.363867"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,4.9,"43.641867, -79.43109"
3,"319 Queen Street West
Toronto, ON M5V 2E4","Chipotle Mexican Grill",1,0.8,"43.649569, -79.391649"
10,"2404 Dufferin Street
Toronto, ON M6E 3S8","Thai Shan Inn",2,4,"43.696962, -79.451081"
1,"410 Adelaide Street W
Toronto, ON M5V 1S8","Craft Kitchen",2,1.8,"43.646647, -79.396602"
2,"440 Spadina Avenue
Toronto, ON M5T 2G8","98 Aroma",2,2.2,"43.657008, -79.399969"
7,"1225 Dundas Street E
Toronto, ON M5R 3L2","Corner By Spoon And Fork",1,1.7,"43.67101, -79.394447"
6,"2088 Yonge Street
Toronto, ON M4S 2A3","Five Doors North",3,4.8,"43.702215, -79.397614"
