Category,Restaurant Address,Restaurant Name,Restaurant Price Range,Restaurant Latitude,Restaurant Longitude,Review Rate
American (Traditional),"2050 Yonge St.
Toronto, ON M4S 1Z9",St. Louis Bar & Grill,$11-30,43.701559,-79.39763,2.4
American (Traditional),"577 College Street
Toronto, ON M6G 1B2",Sidecar,$31-60,43.6552,-79.413083,3.8
American (Traditional),"699 Saint Clair Avenue W
Toronto, ON M6C 1B2",The Stockyards,$11-30,43.681346,-79.426147,1.3
American (Traditional),"21 Saint Clair Avenue W
Toronto, ON M4V 1K6",Union Social Eatery,$11-30,43.687795,-79.395069,0.4
American (Traditional),"369 Roncesvalles Avenue
Toronto, ON M6R 2M8",Bistro Bela,NA,43.650098,-79.450221,0.3
American (Traditional),"88 Ossington Ave
Toronto, ON M6J 2Z3",Omaw,NA,43.646126,-79.419673,4
American (Traditional),"650 Spadina Avenue
Toronto, ON M5S 2H7",Pig Out BBQ,$11-30,43.663182,-79.402567,0.8
American (Traditional),"218 Yonge Street
Toronto, ON M5B 2H6",Hendriks Restaurant & Bar,$31-60,43.655536,-79.380934,0.5
American (Traditional),"1168 Kennedy Road
Toronto, ON M1P",Fanzone Wings & Ribs,$11-30,43.753057,-79.276234,2.8
American (Traditional),"3313 Bloor Street W
Toronto, ON M8X 1E7",The Bull Pub and Grill,NA,43.645249,-79.520259,0.4
American (Traditional),"9 1/2 Church Street
Toronto, ON M5E 1M2",Loaded Pierogi,$11-30,43.647901,-79.373407,1.2
American (Traditional),"208 Bloor Street W
Toronto, ON M5S 1W2",Museum Tavern,$11-30,43.668524,-79.395851,4.7
American (Traditional),"406 Dupont Street
Toronto, ON M5R 1V9",Nord Bistro,NA,43.6739,-79.41147,0.2
American (Traditional),"3353 Yonge Street
Toronto, ON M4N 2M6",The Monkey Bar,$31-60,43.731489,-79.403703,4.3
American (Traditional),"577 College Street
Toronto, ON M6G 1B2",Sidecar,$31-60,43.6552,-79.413083,3.6
American (Traditional),"704 The Queensway
Toronto, ON M8Y 1L3",MELTwich Food,NA,43.626889,-79.500532,4.2
American (Traditional),"240 Duncan Mill Road
Toronto, ON M3B 3S6",Granite Bistro,Under $10,43.762054,-79.351668,0.8
American (Traditional),"707 Dundas Street W
Unit 1A
Toronto, ON M5T 2W6",StuffD Grilled Cheese & Tots,NA,43.651766,-79.404965,5
American (Traditional),"122 St. Patrick St
Toronto, ON M5T",Helena’s Magic Kitchen,Under $10,43.653504,-79.390154,3.4
American (Traditional),"561 Avenue Road
Toronto, ON M4V 2K4",Bistro Five61,NA,43.687731,-79.401685,2.4
American (Traditional),"2148 Queen St E
Toronto, ON M4E 1E3",Swiss Chalet Rotisserie & Grill,Under $10,43.67176,-79.292952,1.8
American (Traditional),"41 Milner Avenue
Toronto, ON M1S 3P6",Kingsmen Pub & Grill,$11-30,43.783669,-79.253191,1.7
American (Traditional),"919 Pape Avenue
Toronto, ON M4K 3V3",Chicago Eatery,$11-30,43.685466,-79.346864,4.9
American (Traditional),"106 Broadview Avenue
Toronto, ON M4M",The Civic At the Broadview Hotel,NA,43.658979,-79.350162,0.5
